x,y,z
4.962235,3.495273,-10.899998
4.962191,7.095273,-10.899998
-6.582248,7.095271,-10.900002
-6.582292,3.495272,-10.900002
-6.810029,3.495269,-0.700001
-6.810029,6.49527,-0.5
0.38997,6.49527,-0.5
0.18997,3.49527,-0.7
-5.96003,6.495269,-5.700001
-0.960029,3.495269,-5.5
-0.060029,3.49527,-5.5
-0.060029,5.495269,-5.700001
0.189971,6.49527,-5.5
0.389971,6.49527,-5.700001
-0.060029,3.49527,-5.5
-1.110029,3.495269,-5.5
-1.11003,3.495269,-2.299999
-6.810029,6.495269,-0.700001
0.18997,3.49527,-0.7
-1.110029,3.495269,-5.5
-0.060029,3.49527,-5.5
0.18997,6.49527,-0.7
-6.810029,6.495269,-0.700001
-0.960029,3.495269,-5.700001
0.389971,6.49527,-5.700001
0.18997,3.49527,-0.7
-3.66003,3.495269,-5.700001
-5.96003,6.495269,-5.700001
-3.66003,6.495269,-5.700001
-1.360029,3.495269,-5.700001
-3.66003,6.495269,-5.700001
-1.360029,6.495269,-5.700001
-3.193363,6.045269,-5.700001
-3.193363,3.495269,-5.700001
-1.526696,3.495269,-5.700001
-1.526696,6.045269,-5.700001
-5.793363,6.045269,-5.700001
-5.793363,3.495269,-5.700001
-4.126697,3.495269,-5.700001
-4.126697,6.045269,-5.700001
-7.01003,3.495269,11.000001
5.389971,3.495269,-5.700001
5.139971,3.495269,-7.700001
-6.760029,3.495269,-7.700001
-7.010028,3.495269,-5.700001
5.139971,7.095269,-5.700001
5.139971,3.495269,-7.700001
-6.760029,3.495269,-5.700001
-6.760029,7.095269,-7.700001
5.139971,3.544363,-5.737534
5.139971,7.046175,-7.662464
-6.760029,7.046175,-5.737537
-6.760029,3.544363,-7.662464
5.039971,3.495269,-7.700001
5.039971,7.095269,-5.700001
-6.660028,7.095269,-7.700001
-6.660029,3.495269,-5.700001
-6.685029,5.944364,-7.662464
5.06497,5.944363,-5.737534
-6.735028,5.846175,-5.737537
-6.735028,5.944364,-7.662464
5.11497,5.944363,-5.737534
5.11497,5.846175,-7.662464
-6.735028,5.944364,-7.662464
5.11497,5.944363,-5.737534
-6.760029,3.544363,-5.737537
-6.760029,3.544363,-7.662464
-6.760029,3.495269,-7.700001
-6.660029,7.046175,-7.662464
-6.660029,7.046175,-5.737537
5.139971,7.095269,-7.700001
5.139971,7.046175,-7.662464
5.039971,7.046175,-7.662464
5.039971,3.544363,-5.737534
5.139971,7.095269,-5.700001
5.139971,3.544363,-5.737534
-6.760029,3.495269,-5.700001
5.039971,3.495269,-5.700001
-2.160029,3.695269,-7.900002
-6.660029,3.695269,-7.900002
5.039971,3.695269,-11.674072
5.039971,3.695269,-7.900002
0.03997,3.495269,-7.700001
-6.660029,3.495269,-7.700001
-2.160028,6.895269,-7.700001
-2.160028,6.895269,-7.900002
5.039971,6.895269,-10.748058
-2.160028,6.895269,-7.900002
0.03997,6.895252,-7.700001
5.039971,6.895252,-5.700001
-6.660028,6.895269,-7.700001
-2.160028,6.895269,-7.900002
-5.96003,3.495269,-5.700001
-5.96003,3.495269,-5.700001
-4.126697,3.495269,-5.700001
-4.126697,3.495269,-5.700001
-3.66003,3.495269,-5.700001
-3.66003,3.495269,-5.700001
-1.526696,3.495269,-5.700001
-1.360029,3.495269,-5.700001
-1.360029,3.495269,-5.700001
-0.060029,3.49527,-5.700001
0.389971,3.49527,-5.700001
0.389971,3.49527,-5.700001
-3.66003,6.495269,-5.700001
-0.68503,6.895252,-5.700001
5.039971,6.895252,-5.700001
-0.68503,6.895252,-5.700001
-3.66003,6.495269,-5.700001
0.389971,6.49527,-5.700001
2.539971,6.49527,-5.700001
2.539971,3.495269,-5.700001
0.389971,6.49527,-5.700001
-0.81003,6.895252,10.800002
1.18997,3.495269,2.700001
0.18997,3.495269,2.700001
1.18997,3.495269,2.5
0.18997,3.49527,2.5
5.18997,6.49527,2.5
0.38997,3.49527,-0.5
-3.010029,3.495269,2.5
-2.010029,3.49527,2.5
-0.91003,6.49527,2.5
5.18997,6.49527,2.5
1.18997,5.495269,2.5
1.18997,3.495269,2.5
-2.010029,3.49527,2.5
-2.010029,5.49527,2.5
-3.010029,5.49527,2.5
-3.010029,5.49527,2.5
-3.010029,5.49527,2.5
-0.81003,3.495269,2.700001
1.18997,3.495269,2.700001
-0.81003,6.895252,2.700001
0.18997,3.49527,2.5
0.18997,3.49527,2.5
1.18997,3.495269,2.700001
1.18997,5.495269,2.5
-0.81003,6.895252,10.800002
5.18997,3.495269,10.8
5.18997,3.495269,8.933333
5.18997,3.495269,5.366667
5.18997,6.895252,10.800002
5.18997,6.895252,5.366667
5.18997,6.895252,5.366667
5.18997,6.895252,2.700001
5.18997,6.895252,8.933333
5.18997,6.895252,8.933333
5.28997,6.895252,5.366667
5.28997,7.095269,8.933333
-6.810031,6.895252,8.933333
-6.810031,6.895252,8.933333
-6.810031,6.895252,2.699999
-6.810031,6.895252,5.366666
-6.810031,6.895252,5.366666
-6.810031,6.895252,10.800002
-6.810031,3.495269,5.366666
-6.810031,3.495269,8.933333
-6.810031,3.495269,10.8
-1.010031,6.895252,10.800002
-3.010029,5.49527,2.5
-3.010029,3.495269,2.699999
-2.010029,3.49527,2.5
-2.010029,3.49527,2.5
-1.01003,6.895252,2.700001
-3.010029,3.495269,2.699999
-1.01003,3.495269,2.700001
-2.010029,3.495269,2.700001
-3.010029,3.495269,2.699999
-1.010031,6.895252,10.800002
2.539971,6.49527,-5.400002
2.539971,6.49527,-5.700001
2.539971,6.49527,-5.400002
2.539971,3.495269,-5.700001
2.539971,3.495269,-5.400002
5.18997,3.495269,2.5
2.539971,3.495269,-5.400002
2.539971,6.49527,-5.400002
5.039971,6.895269,-10.748058
-6.660029,3.695269,-11.674072
-6.660028,6.895269,-10.748058
5.039971,3.695269,-11.674072
4.612471,6.455269,-10.87838
5.18997,3.495269,2.5
5.18997,3.495269,-1.449999
5.18997,6.49527,-5.400002
5.18997,6.49527,-1.449999
5.18997,3.495269,2.5
5.18997,6.49527,2.5
5.18997,6.49527,-1.449999
5.18997,3.495269,-1.449999
5.18997,3.495269,-1.449999
5.18997,6.49527,-1.449999
5.18997,6.49527,-5.400002
5.18997,3.495269,-5.400002
5.389971,3.495269,-5.700001
5.389971,7.095269,-5.700001
5.38997,7.095269,-1.449999
5.38997,3.495269,-1.449999
5.38997,7.095269,-1.449999
-7.010028,3.495269,-5.700001
-6.81003,4.31729,0.588219
-6.81003,6.49527,2.5
-6.81003,3.530924,2.5
-6.810029,3.530924,-0.5
5.18997,4.31729,0.588221
5.18997,4.31729,0.588221
5.18997,5.673248,1.778448
5.18997,4.31729,1.778448
5.18997,4.31729,-4.678447
5.18997,4.31729,-3.488218
5.18997,5.673248,-3.488218
5.18997,4.31729,-4.678447
-7.01003,4.31729,0.588219
-7.01003,4.31729,1.778448
-7.01003,5.673248,1.778448
-7.01003,4.31729,0.588219
-6.96003,4.31729,1.778448
-6.96003,5.673248,1.778448
-6.96003,5.673248,0.588219
-6.96003,4.31729,0.588219
-6.86003,5.673248,0.588219
-6.86003,5.673248,1.778448
-6.86003,4.31729,1.778448
-6.86003,4.31729,0.588219
-6.96003,4.357291,0.62822
-6.96003,4.357291,1.738447
-6.96003,5.633248,1.738447
-6.96003,4.357291,0.62822
0.03997,3.495269,-7.700001
0.03997,3.695269,-8.189049
5.039971,3.695269,-11.674072
0.03997,3.695269,-8.189049
-2.160029,3.695269,-7.900002
-2.160029,3.695269,-8.189049
0.03997,3.610248,-7.900002
0.03997,3.610248,-7.900002
0.03997,3.610248,-8.189049
-2.160029,3.695269,-7.900002
0.03997,3.695269,-7.900002
5.18997,6.895252,8.933333
-0.960029,3.495269,-5.5
0.189971,6.49527,-5.5
-2.160029,3.610248,-7.900002
-2.160028,6.895269,-7.900002
0.03997,3.495269,-7.700001
0.03997,3.495269,-7.700001
0.03997,6.895269,-7.900002
5.389971,3.495269,-7.700001
5.389969,7.095269,5.223663
5.389969,7.095269,5.075203
5.389969,3.495269,5.075203
5.389969,3.495269,5.223663
5.484795,6.989753,5.223663
5.484795,6.989753,9.223662
5.389969,3.495269,9.223662
5.389969,3.495269,9.075204
5.389969,7.095269,9.075204
5.389969,7.095269,9.223662
-7.015206,7.095269,5.075203
-7.015206,7.095269,5.223663
-7.015206,3.495269,5.223663
-7.015206,3.495269,5.075203
-7.110031,6.989753,5.075203
-7.110031,6.989753,9.075204
-7.015206,3.495269,9.075204
-7.015206,3.495269,9.223662
-7.015206,7.095269,9.223662
-7.015206,7.095269,9.075204
5.239971,4.357291,0.62822
5.239971,5.633248,1.738449
5.239971,4.357291,1.738449
5.239971,4.357291,0.62822
5.33997,4.31729,0.588221
5.33997,4.31729,1.778448
5.33997,5.673248,1.778448
5.33997,5.673248,0.588221
5.239971,4.31729,0.588221
5.239971,5.673248,0.588221
5.239971,5.673248,1.778448
5.239971,4.31729,1.778448
5.239972,4.31729,-3.488317
5.239972,5.673248,-3.488317
5.239972,5.673248,-4.678545
5.239972,4.31729,-4.678545
5.33997,5.673248,-4.678545
5.33997,5.673248,-3.488317
5.33997,4.31729,-3.488317
5.33997,4.31729,-4.678545
5.239972,4.357291,-4.638545
5.239972,4.357291,-3.528316
5.239972,5.633248,-3.528316
5.239972,4.357291,-4.638545
5.11497,4.744363,-5.737534
5.11497,4.646174,-7.662464
5.11497,4.744363,-5.737534
5.06497,4.744363,-5.737534
-6.735028,4.744364,-7.662464
-6.735028,4.744364,-7.662464
-6.735028,4.646174,-5.737537
-6.685029,4.744364,-7.662464
-4.126697,3.495269,-5.637501
-5.793363,6.045269,-5.637501
-4.126697,6.045269,-5.637501
-5.793363,6.045269,-5.512501
-5.793363,3.495269,-5.512501
-4.126697,6.045269,-5.512501
-5.706363,5.95827,-5.637501
-5.706363,3.495269,-5.637501
-4.213696,5.95827,-5.637501
-1.613696,5.95827,-5.637501
